"","ID","Genotype","Duration","Dur (ms)","Intensity","Phase","count","Rxn"
"1","BP1","Fmr1-LE_KO","Alone",100,30,"BBN Rxn",5,302.253856287425
"2","BP1","Fmr1-LE_KO","Alone",100,30,"BBN TH",5,277.88163372093
"3","BP1","Fmr1-LE_KO","Alone",100,35,"BBN TH",3,217.035686440678
"4","BP1","Fmr1-LE_KO","Alone",100,40,"BBN Rxn",5,207.733037037037
"5","BP1","Fmr1-LE_KO","Alone",100,40,"BBN TH",5,219.183216346154
"6","BP1","Fmr1-LE_KO","Alone",100,45,"BBN TH",3,181.401595041322
"7","BP1","Fmr1-LE_KO","Alone",100,50,"BBN Rxn",5,193.699531578947
"8","BP1","Fmr1-LE_KO","Alone",100,50,"BBN TH",2,200.149977011494
"9","BP1","Fmr1-LE_KO","Alone",100,60,"BBN Rxn",5,168.602015384615
"10","BP1","Fmr1-LE_KO","Alone",100,60,"BBN TH",2,161.067329545455
"11","BP1","Fmr1-LE_KO","Alone",100,70,"BBN Rxn",5,144.515453608247
"12","BP1","Fmr1-LE_KO","Alone",100,70,"BBN TH",2,167.760528735632
"13","BP1","Fmr1-LE_KO","Alone",100,80,"BBN Rxn",5,116.918740932642
"14","BP1","Fmr1-LE_KO","Alone",300,25,"BBN TH",2,269.60225
"15","BP1","Fmr1-LE_KO","Alone",300,30,"BBN Rxn",8,191.205780769231
"16","BP1","Fmr1-LE_KO","Alone",300,30,"BBN TH",5,188.597966666667
"17","BP1","Fmr1-LE_KO","Alone",300,35,"BBN TH",2,147.722131147541
"18","BP1","Fmr1-LE_KO","Alone",300,40,"BBN Rxn",8,152.022867424242
"19","BP1","Fmr1-LE_KO","Alone",300,40,"BBN TH",5,141.301513157895
"20","BP1","Fmr1-LE_KO","Alone",300,45,"BBN TH",2,131.102790322581
"21","BP1","Fmr1-LE_KO","Alone",300,50,"BBN Rxn",8,131.616015444015
"22","BP1","Fmr1-LE_KO","Alone",300,50,"BBN TH",3,146.237483146067
"23","BP1","Fmr1-LE_KO","Alone",300,60,"BBN Rxn",8,116.616422053232
"24","BP1","Fmr1-LE_KO","Alone",300,60,"BBN TH",3,104.077065934066
"25","BP1","Fmr1-LE_KO","Alone",300,70,"BBN Rxn",8,102.999342205323
"26","BP1","Fmr1-LE_KO","Alone",300,70,"BBN TH",3,88.2139444444444
"27","BP1","Fmr1-LE_KO","Alone",300,80,"BBN Rxn",8,80.9402519083969
"28","BP1","Fmr1-LE_KO","Mix",50,35,"BBN TH",3,305.764428571429
"29","BP1","Fmr1-LE_KO","Mix",50,40,"BBN Rxn",12,287.532948148148
"30","BP1","Fmr1-LE_KO","Mix",50,40,"BBN TH",5,241.235145454545
"31","BP1","Fmr1-LE_KO","Mix",50,45,"BBN TH",3,213.453756756757
"32","BP1","Fmr1-LE_KO","Mix",50,50,"BBN Rxn",12,234.933357142857
"33","BP1","Fmr1-LE_KO","Mix",50,50,"BBN TH",2,220.325684210526
"34","BP1","Fmr1-LE_KO","Mix",50,60,"BBN Rxn",12,197.632579310345
"35","BP1","Fmr1-LE_KO","Mix",50,60,"BBN TH",2,228.908727272727
"36","BP1","Fmr1-LE_KO","Mix",50,70,"BBN Rxn",12,177.526888111888
"37","BP1","Fmr1-LE_KO","Mix",50,70,"BBN TH",2,175.119
"38","BP1","Fmr1-LE_KO","Mix",50,80,"BBN Rxn",12,145.964291666667
"39","BP1","Fmr1-LE_KO","Mix",100,30,"BBN Rxn",12,333.082755319149
"40","BP1","Fmr1-LE_KO","Mix",100,30,"BBN TH",5,340.073489795918
"41","BP1","Fmr1-LE_KO","Mix",100,35,"BBN TH",3,262.5694
"42","BP1","Fmr1-LE_KO","Mix",100,40,"BBN Rxn",12,235.686034722222
"43","BP1","Fmr1-LE_KO","Mix",100,40,"BBN TH",5,212.2366
"44","BP1","Fmr1-LE_KO","Mix",100,45,"BBN TH",3,207.909891891892
"45","BP1","Fmr1-LE_KO","Mix",100,50,"BBN Rxn",12,206.986445205479
"46","BP1","Fmr1-LE_KO","Mix",100,50,"BBN TH",2,213.043227272727
"47","BP1","Fmr1-LE_KO","Mix",100,60,"BBN Rxn",12,189.392711267606
"48","BP1","Fmr1-LE_KO","Mix",100,60,"BBN TH",2,176.678952380952
"49","BP1","Fmr1-LE_KO","Mix",100,70,"BBN Rxn",12,167.98465034965
"50","BP1","Fmr1-LE_KO","Mix",100,70,"BBN TH",2,125.315565217391
"51","BP1","Fmr1-LE_KO","Mix",100,80,"BBN Rxn",12,135.188236111111
"52","BP1","Fmr1-LE_KO","Mix",300,25,"BBN TH",3,436.54295
"53","BP1","Fmr1-LE_KO","Mix",300,30,"BBN Rxn",12,367.459830769231
"54","BP1","Fmr1-LE_KO","Mix",300,30,"BBN TH",5,310.879796296296
"55","BP1","Fmr1-LE_KO","Mix",300,35,"BBN TH",3,269.211210526316
"56","BP1","Fmr1-LE_KO","Mix",300,40,"BBN Rxn",12,228.420265734266
"57","BP1","Fmr1-LE_KO","Mix",300,40,"BBN TH",5,205.679982758621
"58","BP1","Fmr1-LE_KO","Mix",300,45,"BBN TH",3,178.687945945946
