"","ID","Genotype","Phase","Duration","Dur (ms)","Type","Inten (dB)","CR","FA","Hit","Miss"
"1","BP1","Fmr1-LE_KO","BBN Rxn","100ms",100,0,-100,534,48,NA,NA
"2","BP1","Fmr1-LE_KO","BBN Rxn","100ms",100,1,20,NA,NA,18,175
"3","BP1","Fmr1-LE_KO","BBN Rxn","100ms",100,1,30,NA,NA,167,27
"4","BP1","Fmr1-LE_KO","BBN Rxn","100ms",100,1,40,NA,NA,189,5
"5","BP1","Fmr1-LE_KO","BBN Rxn","100ms",100,1,50,NA,NA,190,4
"6","BP1","Fmr1-LE_KO","BBN Rxn","100ms",100,1,60,NA,NA,195,1
"7","BP1","Fmr1-LE_KO","BBN Rxn","100ms",100,1,70,NA,NA,194,1
"8","BP1","Fmr1-LE_KO","BBN Rxn","100ms",100,1,80,NA,NA,193,NA
"9","BP1","Fmr1-LE_KO","BBN Rxn","300ms",300,0,-100,641,148,NA,NA
"10","BP1","Fmr1-LE_KO","BBN Rxn","300ms",300,1,20,NA,NA,178,87
"11","BP1","Fmr1-LE_KO","BBN Rxn","300ms",300,1,30,NA,NA,260,3
"12","BP1","Fmr1-LE_KO","BBN Rxn","300ms",300,1,40,NA,NA,264,NA
"13","BP1","Fmr1-LE_KO","BBN Rxn","300ms",300,1,50,NA,NA,259,3
"14","BP1","Fmr1-LE_KO","BBN Rxn","300ms",300,1,60,NA,NA,263,NA
"15","BP1","Fmr1-LE_KO","BBN Rxn","300ms",300,1,70,NA,NA,263,NA
"16","BP1","Fmr1-LE_KO","BBN Rxn","300ms",300,1,80,NA,NA,262,NA
"17","BP1","Fmr1-LE_KO","BBN Rxn","50-300ms",50,1,20,NA,NA,27,114
"18","BP1","Fmr1-LE_KO","BBN Rxn","50-300ms",50,1,30,NA,NA,66,77
"19","BP1","Fmr1-LE_KO","BBN Rxn","50-300ms",50,1,40,NA,NA,135,10
"20","BP1","Fmr1-LE_KO","BBN Rxn","50-300ms",50,1,50,NA,NA,140,4
"21","BP1","Fmr1-LE_KO","BBN Rxn","50-300ms",50,1,60,NA,NA,145,NA
