"","Date","File","Weight","WeightChange","Trials","Hit","FA","Thresholds","Phase","ID","Genotype","Frequency","Intensity","Duration","BG_Type","BG_Intensity","Condition","Sex","BBN_TH","4_TH","8_TH","16_TH","32_TH"
"1",2021-07-26,"BBN_30-90dB_300ms_8s_1.5s",227,-0.195035460992908,243,0.994,0.137,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"2",2021-07-27,"BBN_10-70dB_300ms_8s_1.5s",234,-0.170212765957447,323,0.809,0.214,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"3",2021-07-28,"BBN_10-70dB_300ms_8s_1.5s",238,-0.156028368794326,378,0.795,0.214,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"4",2021-07-29,"BBN_10-70dB_300ms_8s_1s",237,-0.159574468085106,303,0.769,0.154,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"5",2021-07-30,"BBN_10-70dB_300ms_8s_1s",241,-0.145390070921986,308,0.763,0.129,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"6",2021-07-31,"BBN_10-70dB_300ms_8s",239,-0.152482269503546,266,0.786,0.291,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"7",2021-08-02,"BBN_10-70dB_300ms_8s",234,-0.170212765957447,263,0.784,0.244,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"8",2021-08-03,"BBN_15-45dB_300ms_8s",232,-0.177304964539007,278,0.759,0.373,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"9",2021-08-04,"BBN_15-45dB_300ms_8s",226,-0.198581560283688,298,0.743,0.352,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"10",2021-08-05,"BBN_15-45dB_300ms_8s_1.5s",227,-0.195035460992908,277,0.768,0.349,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"11",2021-08-06,"BBN_15-45dB_300ms_8s_1.5s",230,-0.184397163120567,265,0.784,0.313,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"12",2021-08-09,"BBN_10-70dB_300ms_8s_1s",250,-0.113475177304965,126,0.764,0.243,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"13",2021-08-10,"BBN_15-45dB_300ms_8s_1s",234,-0.170212765957447,132,0.663,0.175,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"14",2021-08-11,"BBN_15-45dB_300ms_8s_1s",225,-0.202127659574468,103,0.847,0.226,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"15",2021-08-12,"BBN_15-45dB_300ms_8s_1s",232,-0.177304964539007,170,0.717,0.167,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"16",2021-08-13,"BBN_15-45dB_300ms_8s_1s",232,-0.177304964539007,160,0.769,0.148,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"17",2021-08-14,"BBN_15-45dB_300ms_8s",237,-0.159574468085106,253,0.79,0.182,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","15-45dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"18",2021-10-04,"BBN_30-90dB_300ms_20s",250,-0.113475177304965,259,1,0.167,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"19",2021-10-06,"BBN_30-90dB_300ms_20s",246,-0.127659574468085,286,1,0.143,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"20",2021-10-07,"BBN_30-90dB_300ms_20s",238,-0.156028368794326,260,1,0.103,NA,"Thresholding, BBN","Orange 5","TTS Noise","BBN","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"21",2021-11-15,"4-32kHz_30-90dB_50ms_20s_NG1",249,-0.117021276595745,242,0.976,0.192,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"22",2021-11-16,"4-32kHz_30-90dB_50ms_20s_NG1",250,-0.113475177304965,249,0.942,0.16,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"23",2021-11-17,"4-32kHz_30-90dB_50ms_20s_BG_PNK_50dB_NG1",247,-0.124113475177305,284,0.895,0.298,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,NA,NA,NA,NA
"24",2021-11-18,"4-32kHz_30-90dB_50ms_20s_BG_PNK_50dB_NG1",249,-0.117021276595745,325,0.863,0.296,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,NA,NA,NA,NA
"25",2021-11-19,"4-32kHz_30-90dB_50ms_20s_NG1",249,-0.117021276595745,281,0.924,0.131,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"26",2021-11-20,"4-32kHz_30-90dB_50ms_20s_BG_PNK_50dB_NG1",242,-0.141843971631206,293,0.879,0.195,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,NA,NA,NA,NA
"27",2021-11-22,"4-32kHz_30-90dB_50ms_16s_NG1",239,-0.152482269503546,257,0.939,0.105,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"28",2021-11-23,"4-32kHz_30-90dB_50ms_16s_BG_PNK_50dB_NG1",240,-0.148936170212766,180,0.867,0.154,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,NA,NA,NA,NA
"29",2021-11-24,"4-32kHz_30-90dB_50ms_16s_BG_PNK_50dB_NG1",240,-0.148936170212766,308,0.842,0.215,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,NA,NA,NA,NA
"30",2021-11-29,"4-32kHz_30-90dB_50ms_16s",240,-0.148936170212766,276,0.948,0.172,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"31",2021-11-30,"4-32kHz_30-90dB_50ms_16s",242,-0.141843971631206,241,0.959,0.111,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"32",2021-12-01,"4-32kHz_30-90dB_50ms_16s_BG_PNK_50dB",257,-0.0886524822695035,265,0.882,0.152,NA,"Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,NA,NA,NA,NA
"33",2021-12-02,"4-32kHz_30-90dB_50ms_16s_BG_PNK_50dB",255,-0.0957446808510638,299,0.866,0.267,"40, 45, 40, 35","Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,40,45,40,35
"34",2021-12-03,"4-32kHz_30-90dB_50ms_16s",263,-0.0673758865248227,259,0.967,0.076,"NA, NA, NA, NA","Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"35",2021-12-04,"4-32kHz_30-90dB_50ms_16s_BG_PNK_50dB",266,-0.0567375886524823,284,0.86,0.25,"34, 45, 43, 43","Reaction time","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,34,45,43,43
"36",2021-12-06,"4-32kHz_30-90dB_50ms_16s",259,-0.0815602836879433,264,0.984,0.152,"NA, NA, NA, NA","Thresholding, tones","Orange 5","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"37",2021-12-07,"4-32kHz_20-80dB_50ms_16s",262,-0.0709219858156028,282,0.924,0.131,"NA, 32, NA, NA","Thresholding, tones","Orange 5","TTS Noise","4-32kHz","20-80dB","50ms","NA","NA","Baseline","Female",NA,NA,32,NA,NA
"38",2021-12-08,"4-32kHz_10-70dB_50ms_16s",263,-0.0673758865248227,363,0.858,0.165,"39, 30, 13, NA","Thresholding, tones","Orange 5","TTS Noise","4-32kHz","10-70dB","50ms","NA","NA","Baseline","Female",NA,39,30,13,NA
"39",2021-12-09,"4-32kHz_MIXdB_50ms_4s",255,-0.0957446808510638,257,0.862,0.171,"25, 28, 16, 11","Thresholding, tones","Orange 5","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,25,28,16,11
"40",2021-12-10,"4-32kHz_MIXdB_50ms_16s",253,-0.102836879432624,234,0.897,0.072,"21, NA, 13, NA","Thresholding, tones","Orange 5","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,21,NA,13,NA
"41",2021-12-11,"4-32kHz_MIX5stepdB_50ms_16s",NA,-1,284,0.849,0.341,"40, 27, 15, 15","Thresholding, tones","Orange 5","TTS Noise","4-32kHz","MIX5stepdB","50ms","NA","NA","Baseline","Female",NA,40,27,15,15
