"","ID","Sex","Condition","Frequency","BG_Type","BG_Intensity","count","Trials","Hit","FA"
"1","Green 1","Male","Baseline","4-32kHz","NA","NA",65,350.4375,0.925590769230769,0.193353846153846
"2","Green 1","Male","Baseline","4-32kHz","PNK","30",6,367.666666666667,0.830333333333333,0.246333333333333
"3","Green 1","Male","Baseline","4-32kHz","PNK","50",15,337.266666666667,0.8376,0.308733333333333
"4","Green 1","Male","Baseline","BBN","NA","NA",26,347,0.897423076923077,0.316115384615385
"5","Green 1","Male","Recovery","4-32kHz","NA","NA",6,335.166666666667,0.899333333333333,0.257166666666667
"6","Green 1","Male","Recovery","BBN","NA","NA",3,462.333333333333,0.980666666666667,0.171666666666667
"7","Green 1","Male","Post HHL","4-32kHz","NA","NA",33,321.030303030303,0.954090909090909,0.246121212121212
"8","Green 1","Male","Post HHL","4-32kHz","PNK","30",11,306.727272727273,0.957181818181818,0.247727272727273
"9","Green 1","Male","Post HHL","4-32kHz","PNK","50",10,321.6,0.9195,0.3496
"10","Green 1","Male","Post HHL","BBN","NA","NA",10,403.5,0.9227,0.2287
"11","Green 3","Male","Baseline","4-32kHz","NA","NA",101,376.524752475248,0.927415841584158,0.198831683168317
"12","Green 3","Male","Baseline","4-32kHz","PNK","30",14,349.285714285714,0.886285714285714,0.212578571428571
"13","Green 3","Male","Baseline","4-32kHz","PNK","50",20,340.5,0.8516,0.2763
"14","Green 3","Male","Baseline","4-32kHz","WN","50",11,355.454545454545,0.886893653516295,0.252479258605472
"15","Green 3","Male","Baseline","BBN","NA","NA",42,365.928571428571,0.860485714285714,0.154261904761905
"16","Green 3","Male","Recovery","4-32kHz","NA","NA",12,369.166666666667,0.862633333333333,0.218916666666667
"17","Green 3","Male","Post HHL","4-32kHz","NA","NA",12,414.666666666667,0.898833333333333,0.16175
"18","Green 3","Male","Post HHL","4-32kHz","PNK","30",3,356.333333333333,0.890333333333333,0.263666666666667
"19","Green 3","Male","Post HHL","4-32kHz","PNK","50",3,349.666666666667,0.865333333333333,0.254666666666667
"20","Green 3","Male","Post HHL","4-32kHz","WN","50",2,380,0.871,0.2405
"21","Green 3","Male","Post HHL","BBN","NA","NA",2,434,0.9385,0.0935
"22","Green 4","Male","Baseline","16kHz","NA","NA",17,336,0.867764705882353,0.201294117647059
"23","Green 4","Male","Baseline","4-32kHz","NA","NA",75,334.24,0.941706666666667,0.20048
"24","Green 4","Male","Baseline","4-32kHz","PNK","30",13,340.846153846154,0.919153846153846,0.205023076923077
"25","Green 4","Male","Baseline","4-32kHz","PNK","50",13,324.153846153846,0.866723076923077,0.313884615384615
"26","Green 4","Male","Baseline","8kHz","NA","NA",11,305.636363636364,0.886636363636364,0.148909090909091
"27","Green 4","Male","Baseline","BBN","NA","NA",17,339.882352941176,0.928352941176471,0.201
"28","Green 4","Male","Recovery","4-32kHz","NA","NA",7,321.571428571429,0.952,0.286571428571429
"29","Green 4","Male","Recovery","BBN","NA","NA",3,348,0.992333333333333,0.195
"30","Green 4","Male","Post HHL","4-32kHz","NA","NA",38,328.815789473684,0.965105263157895,0.244342105263158
"31","Green 4","Male","Post HHL","4-32kHz","PNK","30",8,320.125,0.9405,0.3905
