"","ID","Sex","Condition","BG_Type","BG_Intensity","Stim","Dur (ms)","Freq (kHz)","Inten (dB)","n","mean","sd","median","se"
"1","Green 1","Male","Baseline","NA","NA","BBN",50,0,25,107,165.523364485981,83.021973199006,159,8.02603708840502
"2","Green 1","Male","Baseline","NA","NA","BBN",50,0,30,380,146.65,105.863610791007,135,5.43068864725706
"3","Green 1","Male","Baseline","NA","NA","BBN",50,0,35,128,120.0546875,27.6035797615021,122,2.43983480429773
"4","Green 1","Male","Baseline","NA","NA","BBN",50,0,40,403,109.70223325062,28.8411444279801,110,1.43667973633757
"5","Green 1","Male","Baseline","NA","NA","BBN",50,0,45,77,101.766233766234,22.070995556145,107,2.51522337661639
"6","Green 1","Male","Baseline","NA","NA","BBN",50,0,50,274,94.4233576642336,22.357148516385,95,1.35064473626122
"7","Green 1","Male","Baseline","NA","NA","BBN",50,0,60,274,85.2591240875912,20.3421828628486,82.5,1.22891620940094
"8","Green 1","Male","Baseline","NA","NA","BBN",50,0,70,275,79.9927272727273,19.0529405986201,78,1.14893554761004
"9","Green 1","Male","Baseline","NA","NA","BBN",50,0,80,275,71.7272727272727,16.0603953027117,70,0.968478276434199
"10","Green 1","Male","Baseline","NA","NA","BBN",50,0,90,274,59.507299270073,13.9089774421127,59,0.840272056841136
"11","Green 1","Male","Baseline","NA","NA","tone",50,4,25,37,150.108108108108,28.1738489696698,147,4.6317522391078
"12","Green 1","Male","Baseline","NA","NA","tone",50,4,30,475,152.650526315789,82.0060714456059,142,3.76269661250708
"13","Green 1","Male","Baseline","NA","NA","tone",50,4,35,41,142.80487804878,25.1994241126609,146,3.9354888611007
"14","Green 1","Male","Baseline","NA","NA","tone",50,4,40,487,142.084188911704,54.6596191681034,139,2.47686377157084
"15","Green 1","Male","Baseline","NA","NA","tone",50,4,45,26,133.615384615385,36.1077021402104,138.5,7.0813029924588
"16","Green 1","Male","Baseline","NA","NA","tone",50,4,50,444,137.84009009009,37.6096634716112,136,1.78487564008202
"17","Green 1","Male","Baseline","NA","NA","tone",50,4,60,458,130.513100436681,34.675627918581,132,1.62028568532515
"18","Green 1","Male","Baseline","NA","NA","tone",50,4,70,460,124.132608695652,24.1928035749036,126,1.12799528292055
"19","Green 1","Male","Baseline","NA","NA","tone",50,4,80,349,114.618911174785,21.1400852542789,116,1.13160281964453
"20","Green 1","Male","Baseline","NA","NA","tone",50,4,90,249,107.469879518072,19.1847999409884,108,1.21578729640649
"21","Green 1","Male","Baseline","NA","NA","tone",50,8,30,422,180.654028436019,130.159572155252,152,6.33606883662576
"22","Green 1","Male","Baseline","NA","NA","tone",50,8,35,39,172.25641025641,109.367492030724,154,17.5128145851724
"23","Green 1","Male","Baseline","NA","NA","tone",50,8,40,465,151.698924731183,69.617022688271,143,3.22841212275694
"24","Green 1","Male","Baseline","NA","NA","tone",50,8,45,40,134.3,45.3856410140521,133,7.17609993355794
"25","Green 1","Male","Baseline","NA","NA","tone",50,8,50,485,134.521649484536,37.4925618705989,131,1.70244953639166
"26","Green 1","Male","Baseline","NA","NA","tone",50,8,55,19,121.947368421053,18.7126626296222,128,4.29297922984701
"27","Green 1","Male","Baseline","NA","NA","tone",50,8,60,459,118.254901960784,22.9877115677824,118,1.07297448952486
"28","Green 1","Male","Baseline","NA","NA","tone",50,8,70,459,111.023965141612,26.1651096220883,111,1.22128273000733
"29","Green 1","Male","Baseline","NA","NA","tone",50,8,80,369,98.4986449864499,19.8194465138528,99,1.03175917353947
"30","Green 1","Male","Baseline","NA","NA","tone",50,8,90,249,80.6024096385542,17.4674395886499,80,1.10695400618987
"31","Green 1","Male","Baseline","NA","NA","tone",50,16,20,197,191.472081218274,134.742291749668,157,9.59999079577408
"32","Green 1","Male","Baseline","NA","NA","tone",50,16,25,38,161.473684210526,43.9236049584529,154.5,7.12534961754644
"33","Green 1","Male","Baseline","NA","NA","tone",50,16,30,452,165.87389380531,90.6505658113736,152,4.26384394947699
"34","Green 1","Male","Baseline","NA","NA","tone",50,16,35,41,160.682926829268,50.6075286021706,154,7.90356812168621
"35","Green 1","Male","Baseline","NA","NA","tone",50,16,40,477,154.953878406709,66.218428109333,146,3.03193354296457
"36","Green 1","Male","Baseline","NA","NA","tone",50,16,45,26,140.961538461538,36.1646023279458,143,7.0924620373661
"37","Green 1","Male","Baseline","NA","NA","tone",50,16,50,455,143.617582417582,50.5094630497944,137,2.36792015085644
"38","Green 1","Male","Baseline","NA","NA","tone",50,16,60,459,132.457516339869,32.4253903953303,132,1.51348761291381
"39","Green 1","Male","Baseline","NA","NA","tone",50,16,70,389,129.925449871465,26.3887881361482,129,1.33796467006445
"40","Green 1","Male","Baseline","NA","NA","tone",50,16,80,354,124.502824858757,26.7596847616237,124,1.42226119850885
"41","Green 1","Male","Baseline","NA","NA","tone",50,16,90,249,116.658634538153,26.2026826944506,116,1.66052754522714
"42","Green 1","Male","Baseline","NA","NA","tone",50,32,5,29,221.620689655172,200.851120021256,158,37.2971166555868
"43","Green 1","Male","Baseline","NA","NA","tone",50,32,10,128,156.21875,129.597920751037,131,11.4549460738419
"44","Green 1","Male","Baseline","NA","NA","tone",50,32,15,38,140.684210526316,39.4215644534115,133,6.39502220883037
"45","Green 1","Male","Baseline","NA","NA","tone",50,32,20,235,128.331914893617,39.5110127803996,124,2.5774142831428
"46","Green 1","Male","Baseline","NA","NA","tone",50,32,25,42,128.261904761905,24.4211618786434,125.5,3.7682670878412
"47","Green 1","Male","Baseline","NA","NA","tone",50,32,30,489,128.926380368098,39.3105372582893,125,1.77768394366062
"48","Green 1","Male","Baseline","NA","NA","tone",50,32,35,25,133.4,45.4000734213797,123,9.08001468427594
"49","Green 1","Male","Baseline","NA","NA","tone",50,32,40,456,122.861842105263,28.3043232846007,122,1.32547137973892
"50","Green 1","Male","Baseline","NA","NA","tone",50,32,50,457,120.120350109409,28.3644197657749,118,1.3268315928627
"51","Green 1","Male","Baseline","NA","NA","tone",50,32,60,396,122.063131313131,27.0896973137354,119,1.3613085102115
"52","Green 1","Male","Baseline","NA","NA","tone",50,32,70,366,123.092896174863,26.5709101173803,119,1.38888372095867
"53","Green 1","Male","Baseline","NA","NA","tone",50,32,80,349,116.702005730659,38.1242301070178,113,2.04074324994248
"54","Green 1","Male","Baseline","NA","NA","tone",50,32,90,249,104.943775100402,24.0655365994649,102,1.52509141449653
"55","Green 1","Male","Post HHL","NA","NA","BBN",50,0,25,150,207.78,169.666742834773,156.5,13.8532315421736
"56","Green 1","Male","Post HHL","NA","NA","BBN",50,0,30,363,155.426997245179,97.3233037714023,138,5.10814869371299
"57","Green 1","Male","Post HHL","NA","NA","BBN",50,0,35,184,131.211956521739,41.0624430330819,130,3.02716346264831
