"","ID","Genotype","Phase","Duration","Dur (ms)","Type","Inten (dB)","CR","FA","Hit","Miss"
"1","GP 1","Tsc2_LE_Het","BBN Rotating","100ms",100,0,-100,540,43,NA,NA
"2","GP 1","Tsc2_LE_Het","BBN Rotating","100ms",100,1,20,NA,NA,34,160
"3","GP 1","Tsc2_LE_Het","BBN Rotating","100ms",100,1,30,NA,NA,159,36
"4","GP 1","Tsc2_LE_Het","BBN Rotating","100ms",100,1,40,NA,NA,191,4
"5","GP 1","Tsc2_LE_Het","BBN Rotating","100ms",100,1,50,NA,NA,194,NA
"6","GP 1","Tsc2_LE_Het","BBN Rotating","100ms",100,1,60,NA,NA,194,NA
"7","GP 1","Tsc2_LE_Het","BBN Rotating","100ms",100,1,70,NA,NA,191,2
"8","GP 1","Tsc2_LE_Het","BBN Rotating","100ms",100,1,80,NA,NA,193,1
"9","GP 1","Tsc2_LE_Het","BBN Rotating","300ms",300,0,-100,560,37,NA,NA
"10","GP 1","Tsc2_LE_Het","BBN Rotating","300ms",300,1,20,NA,NA,61,138
"11","GP 1","Tsc2_LE_Het","BBN Rotating","300ms",300,1,30,NA,NA,193,5
"12","GP 1","Tsc2_LE_Het","BBN Rotating","300ms",300,1,40,NA,NA,197,1
"13","GP 1","Tsc2_LE_Het","BBN Rotating","300ms",300,1,50,NA,NA,197,2
"14","GP 1","Tsc2_LE_Het","BBN Rotating","300ms",300,1,60,NA,NA,195,2
"15","GP 1","Tsc2_LE_Het","BBN Rotating","300ms",300,1,70,NA,NA,198,1
"16","GP 1","Tsc2_LE_Het","BBN Rotating","300ms",300,1,80,NA,NA,199,1
"17","GP 1","Tsc2_LE_Het","BBN Rotating","50ms",50,0,-100,515,59,NA,NA
"18","GP 1","Tsc2_LE_Het","BBN Rotating","50ms",50,1,20,NA,NA,23,168
"19","GP 1","Tsc2_LE_Het","BBN Rotating","50ms",50,1,30,NA,NA,126,65
"20","GP 1","Tsc2_LE_Het","BBN Rotating","50ms",50,1,40,NA,NA,180,11
"21","GP 1","Tsc2_LE_Het","BBN Rotating","50ms",50,1,50,NA,NA,190,1
"22","GP 1","Tsc2_LE_Het","BBN Rotating","50ms",50,1,60,NA,NA,191,1
"23","GP 1","Tsc2_LE_Het","BBN Rotating","50ms",50,1,70,NA,NA,190,NA
"24","GP 1","Tsc2_LE_Het","BBN Rotating","50ms",50,1,80,NA,NA,192,NA
"25","GP 1","Tsc2_LE_Het","BBN Rxn","100ms",100,0,-100,615,48,NA,NA
"26","GP 1","Tsc2_LE_Het","BBN Rxn","100ms",100,1,20,NA,NA,105,117
"27","GP 1","Tsc2_LE_Het","BBN Rxn","100ms",100,1,30,NA,NA,214,6
"28","GP 1","Tsc2_LE_Het","BBN Rxn","100ms",100,1,40,NA,NA,217,3
"29","GP 1","Tsc2_LE_Het","BBN Rxn","100ms",100,1,50,NA,NA,219,2
"30","GP 1","Tsc2_LE_Het","BBN Rxn","100ms",100,1,60,NA,NA,217,3
"31","GP 1","Tsc2_LE_Het","BBN Rxn","100ms",100,1,70,NA,NA,223,NA
"32","GP 1","Tsc2_LE_Het","BBN Rxn","100ms",100,1,80,NA,NA,223,NA
"33","GP 1","Tsc2_LE_Het","BBN Rxn","300ms",300,0,-100,525,58,NA,NA
"34","GP 1","Tsc2_LE_Het","BBN Rxn","300ms",300,1,20,NA,NA,158,36
"35","GP 1","Tsc2_LE_Het","BBN Rxn","300ms",300,1,30,NA,NA,193,NA
"36","GP 1","Tsc2_LE_Het","BBN Rxn","300ms",300,1,40,NA,NA,189,6
"37","GP 1","Tsc2_LE_Het","BBN Rxn","300ms",300,1,50,NA,NA,190,5
"38","GP 1","Tsc2_LE_Het","BBN Rxn","300ms",300,1,60,NA,NA,189,6
"39","GP 1","Tsc2_LE_Het","BBN Rxn","300ms",300,1,70,NA,NA,194,1
"40","GP 1","Tsc2_LE_Het","BBN Rxn","300ms",300,1,80,NA,NA,194,NA
"41","GP 1","Tsc2_LE_Het","BBN Rxn","50-300ms",50,1,20,NA,NA,7,58
"42","GP 1","Tsc2_LE_Het","BBN Rxn","50-300ms",50,1,30,NA,NA,50,13
"43","GP 1","Tsc2_LE_Het","BBN Rxn","50-300ms",50,1,40,NA,NA,60,3
"44","GP 1","Tsc2_LE_Het","BBN Rxn","50-300ms",50,1,50,NA,NA,65,NA
"45","GP 1","Tsc2_LE_Het","BBN Rxn","50-300ms",50,1,60,NA,NA,64,NA
"46","GP 1","Tsc2_LE_Het","BBN Rxn","50-300ms",50,1,70,NA,NA,62,NA
"47","GP 1","Tsc2_LE_Het","BBN Rxn","50-300ms",50,1,80,NA,NA,63,NA
"48","GP 1","Tsc2_LE_Het","BBN Rxn","50-300ms",100,1,20,NA,NA,16,49
