"","ID","Genotype","Duration","Dur (ms)","Intensity","Phase","count","Rxn"
"1","GP 1","Tsc2_LE_Het","Alone",100,25,"BBN TH",3,312.206545454545
"2","GP 1","Tsc2_LE_Het","Rotating",100,30,"BBN Rotating",4,306.229251572327
"3","GP 1","Tsc2_LE_Het","Alone",100,30,"BBN Rxn",5,235.650271028037
"4","GP 1","Tsc2_LE_Het","Alone",100,30,"BBN TH",5,239.79538028169
"5","GP 1","Tsc2_LE_Het","Alone",100,35,"BBN TH",3,242.145574626866
"6","GP 1","Tsc2_LE_Het","Rotating",100,40,"BBN Rotating",4,266.198926701571
"7","GP 1","Tsc2_LE_Het","Alone",100,40,"BBN Rxn",5,214.823465437788
"8","GP 1","Tsc2_LE_Het","Alone",100,40,"BBN TH",5,205.577345454545
"9","GP 1","Tsc2_LE_Het","Alone",100,45,"BBN TH",3,179.683985074627
"10","GP 1","Tsc2_LE_Het","Rotating",100,50,"BBN Rotating",4,254.164829896907
"11","GP 1","Tsc2_LE_Het","Alone",100,50,"BBN Rxn",5,177.782406392694
"12","GP 1","Tsc2_LE_Het","Alone",100,50,"BBN TH",2,177.596988636364
"13","GP 1","Tsc2_LE_Het","Rotating",100,60,"BBN Rotating",4,254.541984536082
"14","GP 1","Tsc2_LE_Het","Alone",100,60,"BBN Rxn",5,154.516926267281
"15","GP 1","Tsc2_LE_Het","Alone",100,60,"BBN TH",2,150.088252873563
"16","GP 1","Tsc2_LE_Het","Rotating",100,70,"BBN Rotating",4,233.725712041885
"17","GP 1","Tsc2_LE_Het","Alone",100,70,"BBN Rxn",5,124.981174887892
"18","GP 1","Tsc2_LE_Het","Alone",100,70,"BBN TH",2,129.200965909091
"19","GP 1","Tsc2_LE_Het","Rotating",100,80,"BBN Rotating",4,208.518937823834
"20","GP 1","Tsc2_LE_Het","Alone",100,80,"BBN Rxn",5,76.1084798206278
"21","GP 1","Tsc2_LE_Het","Rotating",300,20,"BBN Rotating",4,606.650278688525
"22","GP 1","Tsc2_LE_Het","Alone",300,20,"BBN Rxn",5,326.548139240506
"23","GP 1","Tsc2_LE_Het","Alone",300,20,"BBN TH",5,310.933897435897
"24","GP 1","Tsc2_LE_Het","Alone",300,25,"BBN TH",3,249.018528455285
"25","GP 1","Tsc2_LE_Het","Rotating",300,30,"BBN Rotating",4,296.996227979275
"26","GP 1","Tsc2_LE_Het","Alone",300,30,"BBN Rxn",5,201.727450777202
"27","GP 1","Tsc2_LE_Het","Alone",300,30,"BBN TH",5,208.836752475248
"28","GP 1","Tsc2_LE_Het","Alone",300,35,"BBN TH",3,183.728637795276
"29","GP 1","Tsc2_LE_Het","Rotating",300,40,"BBN Rotating",4,252.71823857868
"30","GP 1","Tsc2_LE_Het","Alone",300,40,"BBN Rxn",5,172.685502645503
"31","GP 1","Tsc2_LE_Het","Alone",300,40,"BBN TH",5,176.630435643564
"32","GP 1","Tsc2_LE_Het","Alone",300,45,"BBN TH",3,160.1626484375
"33","GP 1","Tsc2_LE_Het","Rotating",300,50,"BBN Rotating",4,235.513827411168
"34","GP 1","Tsc2_LE_Het","Alone",300,50,"BBN Rxn",5,152.107721052632
"35","GP 1","Tsc2_LE_Het","Alone",300,50,"BBN TH",2,156.438789473684
